gene,log2FoldChange,pValue,rawPValue,qValue,significant
SKP2,-0.934435,0.032744,0.032744,0.543068,no
SLAIN2,-0.202762,0.528714,0.528714,0.999906,no
SLBP,-0.21616,0.515752,0.515752,0.999906,no
SLC10A3,-0.238726,0.504777,0.504777,0.999906,no
SLC10A7,0.0500601,0.925869,0.925869,0.999906,no
SLC11A2,-0.338856,0.378694,0.378694,0.999906,no
SLC12A2,0.0293458,0.936509,0.936509,0.999906,no
SLC12A4,-0.109187,0.741575,0.741575,0.999906,no
SLC12A7,0.0257178,0.942225,0.942225,0.999906,no
SLC12A8,-0.104569,0.851028,0.851028,0.999906,no
SLC12A9,-0.394915,0.279696,0.279696,0.999906,no
SLC13A3,-0.171113,0.93212,0.93212,0.999906,no
SLC13A4,-0.690669,0.388283,0.388283,0.999906,no
SLC14A1,4.08008,0.000107459,0.000107459,0.00762443,yes
SLC15A3,-0.304705,0.574793,0.574793,0.999906,no
SLC15A4,-0.215772,0.540903,0.540903,0.999906,no
SLC16A1,0.257814,0.473137,0.473137,0.999906,no
SLC16A11,-0.537871,0.580089,0.580089,0.999906,no
SLC16A12,-3.88224,3.93437e-05,3.93437e-05,0.00356813,yes
SLC16A13,0.630987,0.420518,0.420518,0.999906,no
SLC16A14,0.446998,0.503487,0.503487,0.999906,no
SLC16A2,0.441318,0.159022,0.159022,0.999906,no
SLC16A3,-0.722749,0.0617218,0.0617218,0.807403,no
SLC16A4,1.03467,0.0417671,0.0417671,0.630613,no
SLC16A5,-0.229789,0.641282,0.641282,0.999906,no
SLC16A6,-1.37125,0.194216,0.194216,0.999906,no
SLC16A7,-0.266183,0.491698,0.491698,0.999906,no
SLC17A5,-0.494368,0.12007,0.12007,0.999906,no
SLC17A9,0.0915241,0.896283,0.896283,0.999906,no
SLC18A2,-0.530125,0.33499,0.33499,0.999906,no
SLC19A1,-0.375787,0.549277,0.549277,0.999906,no
SLC19A2,-1.106,0.0123297,0.0123297,0.281492,no
SLC19A3,-1.47474,0.0371166,0.0371166,0.591458,no
SLC1A1,-0.472028,0.19372,0.19372,0.999906,no
SLC1A2,0.416469,0.386498,0.386498,0.999906,no
SLC1A3,0.0693605,0.943109,0.943109,0.999906,no
SLC1A4,0.271988,0.619348,0.619348,0.999906,no
SLC1A5,-0.42624,0.222453,0.222453,0.999906,no
SLC1A7,0.36925,0.418656,0.418656,0.999906,no
SLC20A1,0.521687,0.124669,0.124669,0.999906,no
SLC20A2,-0.473816,0.199579,0.199579,0.999906,no
SLC22A15,-0.309862,0.555899,0.555899,0.999906,no
SLC22A17,0.19478,0.628015,0.628015,0.999906,no
SLC22A18,-0.748968,0.116874,0.116874,0.999906,no
SLC22A23,1.20815,0.0107966,0.0107966,0.258768,no
SLC22A4,1.08176,0.452603,0.452603,0.999906,no
SLC22A5,0.288595,0.638884,0.638884,0.999906,no
SLC23A2,0.277995,0.400645,0.400645,0.999906,no
SLC23A3,-0.388786,0.70788,0.70788,0.999906,no
SLC24A1,-0.191086,0.613263,0.613263,0.999906,no
SLC24A3,-1.58761,0.0661045,0.0661045,0.838751,no
SLC24A6,-0.533546,0.115311,0.115311,0.999906,no
SLC25A1,-0.274683,0.432623,0.432623,0.999906,no
SLC25A10,-0.191239,0.756599,0.756599,0.999906,no
SLC25A11,0.0537975,0.8781,0.8781,0.999906,no
SLC25A12,-0.51206,0.157223,0.157223,0.999906,no
SLC25A13,-0.080693,0.879154,0.879154,0.999906,no
SLC25A14,-0.205102,0.748192,0.748192,0.999906,no
SLC25A15,0.146586,0.779604,0.779604,0.999906,no
SLC25A16,-0.047575,0.917895,0.917895,0.999906,no
SLC25A17,-0.0884536,0.838685,0.838685,0.999906,no
SLC25A19,-0.566922,0.496515,0.496515,0.999906,no
SLC25A20,0.0778645,0.841186,0.841186,0.999906,no
SLC25A22,-0.255824,0.614491,0.614491,0.999906,no
SLC25A23,-0.050039,0.872191,0.872191,0.999906,no
SLC25A24,-0.183449,0.573543,0.573543,0.999906,no
SLC25A25,-0.504111,0.245425,0.245425,0.999906,no
SLC25A26,-0.0716623,0.953163,0.953163,0.999906,no
SLC25A27,-0.337797,0.454725,0.454725,0.999906,no
